conflict,visual_effects
"add-to-any, use-google-libraries",False
"testimonials-widget, cherry-testi",False
"enhanced-e-commerce-for-woocommerce-store, woocommerce",False
"wp-performance-score-booster, features-by-woothemes",False
"kimili-flash-embed, flash-album-gallery",False
"nextgen-gallery, seo-wordpress",False
"only-tweet-like-share-and-google-1, wp-spamshield",False
"post-grid, templatesnext-toolkit",False
