13092,1,PW
12628,1,PW
13082,1,PW
12630,1,PW
12805,1,PW
12580,1,PW
13286,1,PW
13342,1,PW
13266,1,PW
12949,1,PW
13923,2,PW
12571,2,PW
14036,2,PW
13289,2,PW
13894,2,PW
13521,2,PW
13832,2,PW
12681,2,PW
13905,2,PW
13629,2,PW
12745,3,PW
13508,3,PW
12832,3,PW
12713,3,PW
12601,3,PW
13100,3,PW
13451,3,PW
12804,3,PW
13271,3,PW
13125,3,PW
13444,4,PW
13055,4,PW
13314,4,PW
13423,4,PW
13325,4,PW
13061,4,PW
13961,4,PW
13344,4,PW
13469,4,PW
13593,4,PW
13287,5,PW
13474,5,PW
13468,5,PW
13252,5,PW
13707,5,PW
13204,5,PW
13593,5,PW
13562,5,PW
13467,5,PW
13023,5,PW
