n,plugin,get_time,activation_time,mode
81,all-in-one-wp-migration,0.04232907295227051,0.7171814441680908,modified
82,all-in-one-wp-security-and-firewall,0.1269392967224121,4.410650253295898,modified
83,allow-php-in-posts-and-pages,34.35240578651428,1.9120995998382568,modified
84,amazon-associates-link-builder,0.43083691596984863,1.4101085662841797,default
85,amazon-s3-and-cloudfront,0.016478538513183594,0.8291609287261963,modified
86,amazon-web-services,0.017474889755249023,0.5980737209320068,modified
87,amazonjs,0.02059316635131836,1.2145781517028809,default
88,amp,0.020784378051757812,0.7039403915405273,modified
89,amr-shortcode-any-widget,0.020751237869262695,0.6937131881713867,modified
90,analytics-code,0.39625978469848633,0.688929557800293,modified
91,analytics-counter,0.7763404846191406,4.6386988162994385,modified
92,animate-it,0.4531285762786865,1.9001142978668213,default
93,anti-spam,0.011525630950927734,0.7249197959899902,modified
94,antispam-bee,0.028818845748901367,1.0001945495605469,modified
95,antivirus,0.012869119644165039,1.213785171508789,modified
96,any-mobile-theme-switcher,0.02080821990966797,0.8756542205810547,modified
97,api-key-for-google-maps,0.022282123565673828,0.6838459968566895,modified
98,aqua-page-builder,0.02436971664428711,0.7048192024230957,default
99,aryo-activity-log,0.02604985237121582,2.0568044185638428,modified
100,asesor-cookies-para-la-ley-en-espana,0.027437925338745117,0.7171981334686279,default
101,async-javascript,0.11639523506164551,0.7547447681427002,modified
102,attachments,0.02826976776123047,0.7036952972412109,modified
103,audit-trail,0.01628851890563965,1.5495471954345703,modified
104,auto-post-thumbnail,0.01162862777709961,0.6812455654144287,modified
105,auto-terms-of-service-and-privacy-policy,0.14665889739990234,2.410356044769287,modified
106,autodescription,0.13894200325012207,0.8098230361938477,default
107,automatic-updater,0.0162661075592041,0.7790391445159912,modified
108,autoptimize,0.030713558197021484,1.0447745323181152,modified
109,awesome-weather,0.20830869674682617,0.7873320579528809,default
110,backlinks-saver,0.021378278732299805,0.686800479888916,modified
111,backup,0.03187060356140137,3.180859088897705,modified
112,backupwordpress,0.053609609603881836,0.6894395351409912,modified
113,backwpup,3.8318870067596436,0.8122761249542236,default
114,baidu-sitemap-generator,0.36045193672180176,0.8322722911834717,modified
115,baw-login-logout-menu,0.022988557815551758,0.7822825908660889,modified
116,baw-post-views-count,0.018172264099121094,0.9652388095855713,default
117,bbpress,1.1765780448913574,1.0353765487670898,default
118,beaver-builder-lite-version,0.053461313247680664,0.6950266361236572,modified
119,better-analytics,0.2686491012573242,1.3996684551239014,default
120,better-click-to-tweet,0.18870830535888672,0.8032281398773193,default
121,better-delete-revision,0.02130722999572754,0.7863826751708984,modified
122,better-font-awesome,1.094184160232544,0.6935336589813232,default
123,better-search-replace,0.0132293701171875,0.7277412414550781,modified
124,better-wp-security,0.03794741630554199,4.971191167831421,modified
125,bj-lazy-load,0.04167342185974121,0.70701003074646,default
126,black-studio-tinymce-widget,0.11936664581298828,0.7777454853057861,modified
127,block-bad-queries,0.022572040557861328,0.8054459095001221,modified
128,blog-designer,0.15848255157470703,0.7223381996154785,default
129,blogger-importer,0.012923717498779297,0.7316019535064697,modified
130,blogvault-real-time-backup,0.0221402645111084,1.2683343887329102,modified
131,bm-custom-login,0.014034271240234375,0.7962961196899414,modified
132,booking,0.24253511428833008,25.72088313102722,default
133,bootstrap-3-shortcodes,0.02839970588684082,0.6884469985961914,modified
134,bootstrap-for-contact-form-7,0.02464890480041504,0.7792091369628906,modified
135,bootstrap-shortcodes,0.19779586791992188,0.7717745304107666,default
136,breadcrumb-navxt,0.17009758949279785,0.6863729953765869,modified
137,breadcrumb-trail,0.0263211727142334,0.697739839553833,default
138,breadcrumbs,0.022705078125,0.811694860458374,modified
139,broken-link-checker,0.044641733169555664,11.673515796661377,default
140,brute-force-login-protection,0.022836923599243164,0.9431393146514893,modified
141,buddypress,0.10055947303771973,4.706308364868164,default
142,buddypress-media,10.748421430587769,0.7179586887359619,default
143,bulk-delete,0.03180813789367676,0.7324974536895752,modified
144,bulk-page-creator,0.021365642547607422,0.8103792667388916,modified
145,bulletproof-security,0.26525306701660156,0.755281925201416,modified
146,business-directory-plugin,8.234938144683838,1.1206550598144531,default
147,buttons-shortcode-and-widget,0.13722944259643555,0.6873621940612793,default
148,bwp-google-xml-sitemaps,0.02957630157470703,0.6912429332733154,modified
149,bwp-minify,0.028672218322753906,0.7194042205810547,default
150,bwp-recaptcha,0.05085420608520508,0.7107090950012207,default
151,cache-enabler,0.031134843826293945,1.0518701076507568,modified
152,cachify,0.21320748329162598,0.897258996963501,modified
153,calculated-fields-form,0.033794403076171875,4.216252088546753,modified
154,calculated-fields-form-bk,0.011534690856933594,1.1717956066131592,modified
155,caldera-forms,0.2452850341796875,12.838703870773315,modified
156,calendar,0.02811455726623535,11.052253007888794,default
157,call-now-button,0.02349066734313965,0.9240636825561523,modified
158,capability-manager-enhanced,0.13121318817138672,0.7676117420196533,modified
159,capsman,0.024078369140625,1.3324611186981201,default
160,captcha,0.02635931968688965,4.6368889808654785,default
161,cardoza-facebook-like-box,0.1114187240600586,1.173722505569458,default
162,carousel-horizontal-posts-content-slider,0.24269390106201172,1.110490322113037,default
163,carousel-slider,0.1278681755065918,0.9735677242279053,modified
164,carousel-without-jetpack,0.08217573165893555,0.7477498054504395,modified
165,catch-ids,0.020618677139282227,0.678511381149292,modified
166,categories-images,0.02358555793762207,0.6661686897277832,modified
167,category-posts,0.14076733589172363,0.8723247051239014,modified
168,cbnet-ping-optimizer,0.017087936401367188,0.6778721809387207,modified
169,cf7-conditional-fields,0.021939992904663086,0.6967358589172363,modified
170,cforms2,0.13160443305969238,1.1513500213623047,default
171,check-and-enable-gzip-compression,0.02118372917175293,0.6879372596740723,modified
172,check-email,0.030963659286499023,0.7971231937408447,modified
173,cherry-sidebars,0.0156857967376709,0.7036023139953613,modified
174,cherry-testi,0.027799606323242188,0.7326679229736328,default
175,child-theme-configurator,0.04224133491516113,0.8932075500488281,default
176,child-themify,0.023234844207763672,0.6702315807342529,modified
177,cimy-user-extra-fields,0.03538918495178223,0.8866183757781982,modified
178,ckeditor-for-wordpress,0.12466740608215332,0.7842144966125488,modified
179,clean-and-simple-contact-form-by-meg-nicholas,0.024916887283325195,1.0730457305908203,modified
180,cleantalk-spam-protect,0.11820125579833984,2.3329596519470215,default
181,clickfunnels,0.177138090133667,0.8990678787231445,default
182,clicky,0.1509721279144287,0.6664924621582031,modified
183,clone-posts,0.020006179809570312,0.9139916896820068,modified
184,cloudflare,0.0521240234375,0.7616260051727295,modified
185,cloudflare-flexible-ssl,0.018079757690429688,0.7118360996246338,modified
186,cmb2,0.03027939796447754,0.6628196239471436,modified
187,cms-commander-client,0.029061079025268555,0.774242639541626,modified
188,cms-tree-page-view,0.017457962036132812,1.3308210372924805,modified
189,co-authors-plus,0.15693974494934082,0.8602409362792969,default
190,code-snippets,1.0274524688720703,0.9853899478912354,modified
191,codelights-shortcodes-and-widgets,0.7243161201477051,0.7562010288238525,modified
192,codepeople-post-map,0.02796196937561035,0.9459629058837891,default
193,codepress-admin-columns,0.07727718353271484,2.132488250732422,modified
194,column-shortcodes,0.023980379104614258,0.7570421695709229,default
195,columns,0.016948461532592773,0.7009532451629639,default
196,comet-cache,0.28881359100341797,0.9163722991943359,default
197,coming-soon,0.019611358642578125,1.315725326538086,modified
198,coming-soon-maintenance-mode-from-acurax,0.24219179153442383,0.9660663604736328,modified
199,coming-soon-page,0.030783653259277344,0.8432986736297607,modified
200,commentluv,0.024804115295410156,1.000495195388794,default
201,comments-from-facebook,0.025776386260986328,0.7225222587585449,default
202,compact-wp-audio-player,0.021984100341796875,0.6804735660552979,default
