n,activation_time,mode
164,2.402410741701367,default
165,2.403864986883409,default
166,2.4049712459468986,default
167,2.4050829784696983,default
168,2.406053584314324,default
169,3.3000964,default
170,2.4087436333868033,default
171,3.8493405,default
172,2.4110691678154996,default
173,2.4121793568663996,default
174,2.4123930292126112,default
175,2.412933598597723,default
176,2.413097145993407,default
177,2.414561588923428,default
178,2.4146288777291365,default
179,2.496861,default
180,2.4148833189956647,default
181,2.416870248183804,default
182,2.417524341212719,default
183,2.418137308176736,default
184,2.4190020556247687,default
185,2.41976509487815,default
186,2.422688383000182,default
187,2.496555,default
188,2.4234673909011772,default
189,2.4239170497368865,default
190,2.423926125399422,default
191,2.424731113577767,default
192,2.4253001699835597,default
193,2.4259638013234945,default
194,2.4269148668519556,default
195,2.4278948229256927,default
196,2.538396,default
197,2.4347316565149852,default
198,2.436944869313096,default
199,2.4369657766214083,default
200,2.437274584642324,default
201,2.4377780721022297,default
202,2.4381897328481013,default
203,2.4390643914792935,default
204,2.580340,default
205,2.4405099680188074,default
206,2.4407534848257013,default
207,2.441186790803634,default
208,2.441530717314668,default
209,2.4418475128837684,default
210,2.441929719580533,default
211,2.445084289593646,default
212,2.4454266519708754,default
213,2.445667452450895,default
214,2.448772869930084,default
215,2.4499892843624167,default
216,2.579826,default
217,2.5008253563668417,default
218,2.5010132703644077,default
219,2.501418157051354,default
220,2.5020819248105073,default
221,2.5022069775184876,default
222,2.621818,default
223,2.5026386128688554,default
224,2.5027041330276907,default
225,2.5027502214953663,default
226,2.502953816455826,default
227,2.5030114346830223,default
228,2.503022793401309,default
229,2.503591917541179,default
230,2.5037428664166024,default
231,2.5037923591856224,default
232,2.621405,default
233,2.5038936508117096,default
234,2.5042766016209104,default
235,2.5045086500678266,default
236,2.504544388946227,default
237,2.5046750708637786,default
238,2.504716627810668,default
239,2.5052248780006883,default
240,2.578790,default
241,2.5057850114866533,default
242,2.5060941800062158,default
243,2.506128279222884,default
244,2.5064510274024947,default
245,2.705344,default
246,2.50671505833446,default
247,2.507448758073792,default
248,2.507454716505127,default
249,2.507616414668986,default
250,2.5078528454623736,default
251,2.507923767518485,default
252,2.5081125685453065,default
253,2.508236003085192,default
254,2.509099534233721,default
255,2.662673,default
256,2.612675,default
