n,activation_time,mode
235,3.88657629262,modified
236,3.88719913924,modified
237,3.88759726429,modified
238,3.8910339818,modified
239,3.89234091454,modified
240,3.89333509554,modified
241,3.89438996638,modified
242,3.90243967906,modified
243,3.90899853068,modified
244,3.91147223783,modified
245,3.91691970286,modified
246,3.92442623274,modified
247,3.92893513056,modified
248,3.93277727946,modified
249,3.93502283061,modified
250,3.94291129676,modified
251,3.94389282688,modified
252,3.9448612897,modified
253,5.747288,modified
254,3.95149580797,modified
255,5.197889,modified
256,3.54995006715,modified
257,3.96425105564,modified
258,3.96515900323,modified
259,3.96581251344,modified
260,3.9799025947,modified
261,3.98000892759,modified
262,3.98320283131,modified
263,3.99940977246,modified
264,3.00453375318,modified
265,6.211560,modified
266,3.02083372912,modified
267,3.0236874196,modified
268,3.02456191923,modified
269,3.02683898249,modified
270,3.0324236884,modified
271,3.03506930804,modified
272,3.03527010693,modified
273,3.04163515378,modified
274,3.06355035596,modified
275,3.06525691294,modified
276,3.07344422677,modified
277,3.07557255634,modified
278,3.0804478422,modified
279,3.08110281725,modified
280,3.08223860157,modified
281,3.08491131089,modified
282,3.08517420243,modified
283,3.0920650977,modified
284,3.10608940502,modified
285,3.11169869365,modified
286,3.11236223886,modified
287,4.11963145273,modified
288,4.12288125436,modified
289,4.13888367765,modified
290,6.717518,modified
291,4.14358872219,modified
292,5.492114,modified
293,4.166234653,modified
294,4.1684611196,modified
295,4.17579180969,modified
296,4.1783276398,modified
297,4.18166920486,modified
298,4.18651231213,modified
299,4.19183368442,modified
300,4.19601874361,modified
301,4.20243744787,modified
302,4.20573766728,modified
303,4.2084887105,modified
304,4.21559982585,modified
305,4.21727346089,modified
306,4.22304960849,modified
307,4.22475242241,modified
308,4.22504416026,modified
309,4.22636552404,modified
310,4.23113234038,modified
311,4.24080345384,modified
312,4.24578483362,modified
313,4.24923961416,modified
314,4.25272852435,modified
315,4.2583586616,modified
316,4.26498374199,modified
317,4.2705342705,modified
318,4.27158854027,modified
319,3.27269217854,modified
320,4.67360806724,modified
321,4.675160598,modified
322,4.68369608712,modified
323,4.68661455712,modified
324,4.69215054081,modified
325,4.69343915175,modified
326,4.79597007284,modified
327,3.29863199836,modified
328,4.90796385261,modified
329,4.90850533041,modified
330,4.91206006945,modified
331,4.91275463922,modified
332,4.91840958264,modified
333,4.92087184988,modified
334,4.92617300825,modified
335,4.92701410954,modified
336,4.93256776781,modified
337,4.936485556,modified
338,4.93738624361,modified
339,4.93882431468,modified
340,4.94131534913,modified
341,4.94324609998,modified
342,4.94486794413,modified
343,4.9478264214,modified
344,4.96484416266,modified
345,4.96525058597,modified
346,4.96526237594,modified
347,4.96531511002,modified
348,4.97024779652,modified
349,4.97973980002,modified
350,4.98380504743,modified
351,4.89315903907,modified
352,4.79328790765,modified
353,5.02527721965,modified
354,5.03504394014,modified
355,5.04401037995,modified
356,5.04772311527,modified
357,5.04965146267,modified
358,5.05037934766,modified
359,5.05153427683,modified
360,5.05303788237,modified
361,5.05578338326,modified
362,5.05888157363,modified
363,5.45904568639,modified
364,5.46044675363,modified
365,5.46568083536,modified
366,5.46749839058,modified
367,5.46911445401,modified
368,5.46944851201,modified
369,5.47618962458,modified
370,5.48066705015,modified
371,5.48068605816,modified
372,5.48080370287,modified
373,5.48127334233,modified
374,5.48403747096,modified
375,5.48723258254,modified
376,5.48774326855,modified
377,5.4953926255,modified
378,5.49879556241,modified
379,5.50331001642,modified
380,5.50392964003,modified
381,5.53039613364,modified
382,5.53451343187,modified
383,5.56046025792,modified
384,5.5643291566,modified
385,5.56756742733,modified
386,5.56771257236,modified
387,5.57176185008,modified
388,5.57909888465,modified
389,5.58164897545,modified
390,5.58315392276,modified
391,5.58725197248,modified
392,5.60195056268,modified
393,5.60278151341,modified
394,5.60345780235,modified
395,5.60725417682,modified
396,5.61690700338,modified
397,5.62434326188,modified
398,5.62460504859,modified
399,5.63195311107,modified
400,5.63379233392,modified
401,5.63418091423,modified
402,5.64168568662,modified
403,5.65385404412,modified
404,5.6579116641,modified
405,5.66924441482,modified
406,5.67287835884,modified
407,5.68319730327,modified
408,5.68720697689,modified
409,5.69225296546,modified
410,5.70561537391,modified
411,5.70915384933,modified
412,5.71679139277,modified
413,5.72994275306,modified
414,5.7353260846,modified
415,5.7366304114,modified
416,5.74088099842,modified
417,5.77019379277,modified
418,5.77496857902,modified
419,5.77897760754,modified
420,5.78413840726,modified
421,5.79102417656,modified
422,5.7929466339,modified
423,5.79748822035,modified
424,5.79977146054,modified
425,5.19070904645,modified
426,5.80771203768,modified
427,5.80845890432,modified
428,5.80880414633,modified
429,5.82160688284,modified
430,5.82265087183,modified
431,5.82380020752,modified
432,5.83211492393,modified
433,5.85164638494,modified
434,5.85548696855,modified
435,5.87144799711,modified
436,5.88221526296,modified
437,5.88554951474,modified
438,5.88919417099,modified
439,5.90469042581,modified
440,5.19008919039,modified
441,5.92641528241,modified
442,5.92645517794,modified
443,5.92907397807,modified
444,5.93246099732,modified
445,5.93890776915,modified
446,5.94468673777,modified
447,5.94952708296,modified
448,5.95001985027,modified
449,5.18967595302,modified
450,5.97122166722,modified
451,5.97194463761,modified
452,5.97306131724,modified
453,5.97789637368,modified
454,5.98325547436,modified
455,5.98713487743,modified
456,5.99113646714,modified
457,6.056352,modified
458,5.189314,modified
459,6.102083,modified
460,6.104526,modified
461,6.138082,modified
462,6.583525,modified
463,6.197390,modified
464,6.201441,modified
465,6.249431,modified
466,6.328191,modified
467,6.353108,modified
468,5.400168,modified
469,6.363877,modified
470,7.977530,modified
471,6.625365,modified
472,6.202830,modified
473,6.921088,modified
474,7.597093,modified
475,6.513045,modified
476,7.132201,modified
