149,6.216467509211748,default
2,4.448018182444297,default
266,4.26784668893557,default
270,4.436705809428698,default
378,4.263094459175591,default
386,4.769826784668897,default
380,4.981352663659216,default
407,4.092892317228557,default
408,3.5435448879093663,default
430,3.753882709459692,default
430,4.4721925686146236,default
171,3.8493405420296867,default
160,4.187833603085505,default
138,3.892988739281652,default
135,3.681824442990461,default
114,3.682702572402629,default
169,3.3000964220531017,default
64,2.5017218223768047,default
47,3.0939942835497085,default
6,2.2506801198388366,default
12,1.9969007197217508,default
